laɪstn	ləɪstən	laɪstən	leisten	x	Wir kriegen einen starker Franken statt schwachem Euro leisten keine Zahlungen an die mehr und haben direkte Demokratie
juzɐn	ʊzɛʁn	juzən	Usern	x	Die Kommentare von Usern und Userinnen geben nicht notwendigerweise die Meinung der Redaktion wieder
juzəʁɪnən	ʊzeʁɪnnən	juzəɹɪnən	Userinnen	x	Die Kommentare von Usern und Userinnen geben nicht notwendigerweise die Meinung der Redaktion wieder
ɡebm	gebən	ɡebən	geben	x	Die Kommentare von Usern und Userinnen geben nicht notwendigerweise die Meinung der Redaktion wieder
notvɛndɪɡɐvaɪzə	nɔtvɛndigɛʁvaezə	notvɛndɪɡɜvaɪzə	notwendigerweise	x	Die Kommentare von Usern und Userinnen geben nicht notwendigerweise die Meinung der Redaktion wieder
ʁedaktsion	ʁedaktsɪon	redaktsjon	Redaktion	x	Die Kommentare von Usern und Userinnen geben nicht notwendigerweise die Meinung der Redaktion wieder
tsivilʁɛctlɪcə	tsivɪlʁɛctlɪcə	tsivɪlrɛctlɪcə	zivilrechtliche	x	Die Redaktion behält sich vor Kommentare welche straf oder zivilrechtliche Normen verletzen den guten Sitten widersprechen oder sonst dem Ansehen des Mediums zuwiderlaufen siehe ausführliche Forenregeln zu entfernen
ɡutn	gutən	ɡutən	guten	x	Die Redaktion behält sich vor Kommentare welche straf oder zivilrechtliche Normen verletzen den guten Sitten widersprechen oder sonst dem Ansehen des Mediums zuwiderlaufen siehe ausführliche Forenregeln zu entfernen
zɪtn	zɪtən	zɪtən	Sitten	x	Die Redaktion behält sich vor Kommentare welche straf oder zivilrechtliche Normen verletzen den guten Sitten widersprechen oder sonst dem Ansehen des Mediums zuwiderlaufen siehe ausführliche Forenregeln zu entfernen
vidɐʃpʁɛcn	vidɛʁspʁɛcən	vidɜʃpɾɛcən	widersprechen	x	Die Redaktion behält sich vor Kommentare welche straf oder zivilrechtliche Normen verletzen den guten Sitten widersprechen oder sonst dem Ansehen des Mediums zuwiderlaufen siehe ausführliche Forenregeln zu entfernen
tsuvidɐlaʊfm	tsuvidɛʁlaofən	tsuvidɜlaʊfən	zuwiderlaufen	x	Die Redaktion behält sich vor Kommentare welche straf oder zivilrechtliche Normen verletzen den guten Sitten widersprechen oder sonst dem Ansehen des Mediums zuwiderlaufen siehe ausführliche Forenregeln zu entfernen
aʊsfyɐlɪcə	aosfyʁlɪcə	aʊsfyɾlɪcə	ausführliche	x	Die Redaktion behält sich vor Kommentare welche straf oder zivilrechtliche Normen verletzen den guten Sitten widersprechen oder sonst dem Ansehen des Mediums zuwiderlaufen siehe ausführliche Forenregeln zu entfernen
foʁənʁeɡln	foʁɛnʁegɛln	forənreɡəln	Forenregeln	x	Die Redaktion behält sich vor Kommentare welche straf oder zivilrechtliche Normen verletzen den guten Sitten widersprechen oder sonst dem Ansehen des Mediums zuwiderlaufen siehe ausführliche Forenregeln zu entfernen
tajip	taezip	taɪjip	Tayyip	x	So hat es Tayyip Erdogan am Wochenende bei einer Parteiveranstaltung in der Provinz versprochen
ɛʁdɔɡan	ɛɐdogan	ɛɾdoɡɑn	Erdogan	x	So hat es Tayyip Erdogan am Wochenende bei einer Parteiveranstaltung in der Provinz versprochen
vɔxnɛndə	vɔxenɛndə	vɔxənəndə	Wochenende	x	So hat es Tayyip Erdogan am Wochenende bei einer Parteiveranstaltung in der Provinz versprochen
paʁtaɪfɛɐanʃtaltʊŋ	paʁtaevɐanstaltʊŋ	paɾtaɪveranstaltʊŋ	Parteiveranstaltung	x	So hat es Tayyip Erdogan am Wochenende bei einer Parteiveranstaltung in der Provinz versprochen
fɛɐʃpʁɔxn	fɛɐʃpʁɔxən	fɛɾʃpɾɔxən	versprochen	x	So hat es Tayyip Erdogan am Wochenende bei einer Parteiveranstaltung in der Provinz versprochen
pʁemie	pʁəmiɐ	pɾemɪeɾ	Premier	x	Der türkische Premier meinte sein Amt als Vorsitzender der Regierungspartei
foɐzɪtsndɐ	foɐzɪtsɛndɐ	foɾzɪtsəndɜ	Vorsitzender	x	Der türkische Premier meinte sein Amt als Vorsitzender der Regierungspartei
ʁeɡiʁʊŋspaʁtaɪ	ʁegiʁʊŋspaʁtae	reɡirʊŋspaɾtaɪ	Regierungspartei	x	Der türkische Premier meinte sein Amt als Vorsitzender der Regierungspartei
bʁaʊxt	bʁaoxt	bɾaʊxt	braucht	x	Dann braucht er einen Nachfolger
naxfɔlɡɐ	naxfɔlgɐ	naxfɔlɡɜ	Nachfolger	x	Dann braucht er einen Nachfolger
kuɐtulmus	kʊʁtʊlmʊs	k??tʊlmʊs	Kurtulmus	x	Der ist nun aufgetaucht Numan Kurtulmus Islamist seit langen Jahren und Chef der kleinen Partei der Volksstimme
fɔlksʃtɪmə	vɔlkzstɪmmə	fɔlksstɪmə	Volksstimme	x	Der ist nun aufgetaucht Numan Kurtulmus Islamist seit langen Jahren und Chef der kleinen Partei der Volksstimme
lotsn	lɔtzən	lɔtzən	lotsen	x	Ihn will Erdogan in die Regierungspartei lotsen
tʏʁkaɪ	tʏʁkae	tyɾkaɪ	Türkei	x	Für eine neue Türkei sind wir in Gespräche eingetreten bestätigte Kurtulmus
ɡəʃpʁɛcə	gəʃpʁɛcə	ɡəʃpɾɛcə	Gespräche	x	Für eine neue Türkei sind wir in Gespräche eingetreten bestätigte Kurtulmus
aɪnɡətʁetn	aengətʁətən	aɪnɡətɾetən	eingetreten	x	Für eine neue Türkei sind wir in Gespräche eingetreten bestätigte Kurtulmus
fʁɔmə	fʁɔmmə	frɔmə	fromme	x	Der fromme Mann könnte der nächste Vorsitzende der sein heißt es ja gar Erdogans Nachfolger im Amt des Regierungschefs
foɐzɪtsndə	foɐzɪtsɛnde	foɾzɪtsəndə	Vorsitzende	x	Der fromme Mann könnte der nächste Vorsitzende der sein heißt es ja gar Erdogans Nachfolger im Amt des Regierungschefs
eɐdoɡans	ɛɐdogans	ɛɾdoɡɑns	Erdogans	x	Der fromme Mann könnte der nächste Vorsitzende der sein heißt es ja gar Erdogans Nachfolger im Amt des Regierungschefs
ʁeɡiʁʊŋsʃɛfs	ʁegiʁʊŋʃɛfs	reɡirʊŋsʃɛfs	Regierungschefs	x	Der fromme Mann könnte der nächste Vorsitzende der sein heißt es ja gar Erdogans Nachfolger im Amt des Regierungschefs
fɛɐblaɪp	vɛʁplaep	fɛɾblaɪp	Verbleib	x	Der türkische Premier stellt in diesen Tagen die Weichen für den Verbleib seiner konservativmuslimischen Partei an der Macht
kɔnzɛʁvatifmʊslimɪʃn	kɔnzɛʁvatɪfmʊslimɪʃən	kɔnzɛɾvatɪvmʊslimɪʃən	konservativmuslimischen	x	Der türkische Premier stellt in diesen Tagen die Weichen für den Verbleib seiner konservativmuslimischen Partei an der Macht
ɝbɑkɑn	ɛɐbakan	ɛɾbakɑn	Erbakan	x	Als Erbakan seinem Sohn Fatih führende Parteifunktionen übertragen wollte war Schluss
fatih	fati	fɑti	Fatih	x	Als Erbakan seinem Sohn Fatih führende Parteifunktionen übertragen wollte war Schluss
fyʁəndə	fyʁɛndə	fyrəndə	führende	x	Als Erbakan seinem Sohn Fatih führende Parteifunktionen übertragen wollte war Schluss
paʁtaɪfʊŋktsionən	paʁtaefʊŋktsɪonən	paɾtaɪfʊŋktsjonən	Parteifunktionen	x	Als Erbakan seinem Sohn Fatih führende Parteifunktionen übertragen wollte war Schluss
ybɐtʁaɡn	ybəʁtʁagən	ybɜtɾɑɡən	übertragen	x	Als Erbakan seinem Sohn Fatih führende Parteifunktionen übertragen wollte war Schluss
aʊftʁetnt	aoftʁetɛnt	aʊftɾetənt	auftretend	x	Sehr viel ruhiger auftretend als Erdogan könnte Kurtulmus der einen neuen Anstrich geben den sie nach zehn Jahren an der Macht gebrauchen kann ein wenig mehr links ein bisschen moralischer
ɡəbʁaʊxn	gəbʁaoxən	ɡəbɾaʊxən	gebrauchen	x	Sehr viel ruhiger auftretend als Erdogan könnte Kurtulmus der einen neuen Anstrich geben den sie nach zehn Jahren an der Macht gebrauchen kann ein wenig mehr links ein bisschen moralischer
ybɐɡaŋsfiɡuɐ	ybɛʁgaŋsfɪguɐ	ybɜɡaŋsfɪɡuɾ	Übergangsfigur	x	Erdogan habe eingesehen dass er einen politischen Nachfolger brauche keine Übergangsfigur schrieb der Kolumnist Yusuf Kanli der viele türkische Regierungen kommen und gehen sah
juzʊf	ʏuzuf	juzuf	Yusuf	x	Erdogan habe eingesehen dass er einen politischen Nachfolger brauche keine Übergangsfigur schrieb der Kolumnist Yusuf Kanli der viele türkische Regierungen kommen und gehen sah
kænli	kanli	kanli	Kanli	x	Erdogan habe eingesehen dass er einen politischen Nachfolger brauche keine Übergangsfigur schrieb der Kolumnist Yusuf Kanli der viele türkische Regierungen kommen und gehen sah
ʁeɡiʁʊŋən	ʁegiɐʊŋən	reɡirʊŋən	Regierungen	x	Erdogan habe eingesehen dass er einen politischen Nachfolger brauche keine Übergangsfigur schrieb der Kolumnist Yusuf Kanli der viele türkische Regierungen kommen und gehen sah
tɛʁoɐanɡʁɪf	tɛʁʁoʁaŋʁɪff	tɛroraŋɡɾɪf	Terrorangriff	x	Nach einem Terrorangriff mit Autobomben in der türkischen Grenzstadt Reyhanli am Samstag meldete die Regierung die Festnahme neun Verdächtiger
aʊtobɔmbn	aotobɔmbən	aʊtobɔmbən	Autobomben	x	Nach einem Terrorangriff mit Autobomben in der türkischen Grenzstadt Reyhanli am Samstag meldete die Regierung die Festnahme neun Verdächtiger
tʏʁkɪʃn	tʏʁkɪʃən	tyɾkɪʃən	türkischen	x	Nach einem Terrorangriff mit Autobomben in der türkischen Grenzstadt Reyhanli am Samstag meldete die Regierung die Festnahme neun Verdächtiger
ɡʁɛntsʃtat	gʁɛntsstat	ɡɾɛntsstat	Grenzstadt	x	Nach einem Terrorangriff mit Autobomben in der türkischen Grenzstadt Reyhanli am Samstag meldete die Regierung die Festnahme neun Verdächtiger
ʁeʏhanli	ʁeyanli	raɪhanli	Reyhanli	x	Nach einem Terrorangriff mit Autobomben in der türkischen Grenzstadt Reyhanli am Samstag meldete die Regierung die Festnahme neun Verdächtiger
ʁeɡiʁʊŋ	ʁegiɐʊŋ	reɡirʊŋ	Regierung	x	Nach einem Terrorangriff mit Autobomben in der türkischen Grenzstadt Reyhanli am Samstag meldete die Regierung die Festnahme neun Verdächtiger
nɔɪn	nɔɔʏn	nɔøn	neun	x	Nach einem Terrorangriff mit Autobomben in der türkischen Grenzstadt Reyhanli am Samstag meldete die Regierung die Festnahme neun Verdächtiger
fɛɐdɛctɪɡɐ	fɛɐdɛctɪgɐ	fɛɾdɛctɪɡɜ	Verdächtiger	x	Nach einem Terrorangriff mit Autobomben in der türkischen Grenzstadt Reyhanli am Samstag meldete die Regierung die Festnahme neun Verdächtiger
ʃtatsbʏʁɡɐ	ʃtatsbʏʁgɐ	ʃtɑtsbyɾɡɜ	Staatsbürger	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
aʊftʁak	aoftʁak	aʊftɾɑk	Auftrag	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
zyʁɪʃn	zyʁɪʃən	zyrɪʃən	syrischen	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
ʁeʒims	ʁegiməs	reɡiməs	Regimes	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
fɛɐypt	fɛɐʏpt	fɛɾypt	verübt	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
fiɐ	viʁ	fiɾ	Vier	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
kʁiminɛlə	kʁiminɛllə	kɾiminɛlə	Kriminelle	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
ɔʁɡaniziɐt	ɔʁganɪsiʁt	ɔɾɡaniziɾt	organisiert	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
kʊʁdnpaɐtaɪ	kʊʁdɛnpaʁtae	k??dənpaɾtaɪ	Kurdenpartei	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
monatn	monatən	monɑtən	Monaten	x	Es sollen türkische Staatsbürger sein die im Auftrag des syrischen Regimes die Tat verübt hätten Vier weitere Personen wieder auf freien Fuß gesetzt Kriminelle Bande soll Tat organisiert haben Kurdenpartei Abschluss in drei bis vier Monaten
fɔʁdəʁʊŋən	fɔʁdɐʊŋən	fɔɾdərʊŋən	Forderungen	x	Türkische Regierung Wichtig ist das Resultat Forderungen des Europäischen Gerichtshofs für Menschenrechte erfüllt Keine Freilassung von Helfern zu erwarten
ɡəʁɪctshofs	gəʁɪctsɔfs	ɡərɪctshofs	Gerichtshofs	x	Türkische Regierung Wichtig ist das Resultat Forderungen des Europäischen Gerichtshofs für Menschenrechte erfüllt Keine Freilassung von Helfern zu erwarten
mɛnʃnʁɛctə	mɛnʃɛnʁɛctə	mɛnʃənrɛctə	Menschenrechte	x	Türkische Regierung Wichtig ist das Resultat Forderungen des Europäischen Gerichtshofs für Menschenrechte erfüllt Keine Freilassung von Helfern zu erwarten
ɛɐfʏlt	ɛɐfʏllt	ɛɾfylt	erfüllt	x	Türkische Regierung Wichtig ist das Resultat Forderungen des Europäischen Gerichtshofs für Menschenrechte erfüllt Keine Freilassung von Helfern zu erwarten
fʁaɪlasʊŋ	fʁaelaszʊŋ	fraɪlasʊŋ	Freilassung	x	Türkische Regierung Wichtig ist das Resultat Forderungen des Europäischen Gerichtshofs für Menschenrechte erfüllt Keine Freilassung von Helfern zu erwarten
hɛlfɐn	hɛlfɛʁn	hɛlfɜn	Helfern	x	Türkische Regierung Wichtig ist das Resultat Forderungen des Europäischen Gerichtshofs für Menschenrechte erfüllt Keine Freilassung von Helfern zu erwarten
ɛɐvaʁtn	ɛɐvaʁtən	ɛɾvaɾtən	erwarten	x	Türkische Regierung Wichtig ist das Resultat Forderungen des Europäischen Gerichtshofs für Menschenrechte erfüllt Keine Freilassung von Helfern zu erwarten
aŋkaʁa	ankaʁa	ankɑrɑ	Ankara	x	Im Parlament in Ankara müssen weibliche Abgeordnete nicht länger Rock und Bluse tragen
ɹɔk	ʁɔk	rɔk	Rock	x	Im Parlament in Ankara müssen weibliche Abgeordnete nicht länger Rock und Bluse tragen
tʁaɡn	tʁagən	tɾɑɡən	tragen	x	Im Parlament in Ankara müssen weibliche Abgeordnete nicht länger Rock und Bluse tragen
kɔmɛntaɐ	kommɛntaʁ	kɔmɛntɑɾ	Kommentar	x	Kommentar Erdogans ist verletzend
fɛɐlɛtsnt	fɛɐlɛtsɛnt	fɛɾlɛtsənt	verletzend	x	Kommentar Erdogans ist verletzend
ɛmpøɐtə	ɛmpœʁtə	ɛmpœɾtə	Empörte	x	Empörte Reaktionen aus den und Israel Politologe
ʁeaktsionən	ʁəaktsɪonən	reaktsjonən	Reaktionen	x	Empörte Reaktionen aus den und Israel Politologe
isʁael	ɪsʁael	ɪsrɑɛl	Israel	x	Empörte Reaktionen aus den und Israel Politologe
sɛnki˧˩	tsɛŋits	kɛŋits	Cengiz	x	Cengiz Günay
ɡyne‍ɪ	gynae	ɡynɛɪ	Günay	x	Cengiz Günay
ʃɑsn	cantsən	ʃɑsən	Chancen	x	zu den Chancen der Friedensinitiative mit Öcalans und Erdogans Preis für die Lösung des Kurdenkonflikts Presse rechnet mit Freilassung tausend kurdischer Häftlinge
fʁidnsɪnitiative	fʁidɛnzinitiatifə	fridɛnzinitiativə	Friedensinitiative	x	zu den Chancen der Friedensinitiative mit Öcalans und Erdogans Preis für die Lösung des Kurdenkonflikts Presse rechnet mit Freilassung tausend kurdischer Häftlinge
økeɪləns	øklans	økalɑns	Öcalans	x	zu den Chancen der Friedensinitiative mit Öcalans und Erdogans Preis für die Lösung des Kurdenkonflikts Presse rechnet mit Freilassung tausend kurdischer Häftlinge
kʊʁdnkɔnflaɪkts	kʊʁdɛŋkɔnflɪkts	k??dənkɔnflɪkts	Kurdenkonflikts	x	zu den Chancen der Friedensinitiative mit Öcalans und Erdogans Preis für die Lösung des Kurdenkonflikts Presse rechnet mit Freilassung tausend kurdischer Häftlinge
pʁɛsə	pʁɛszə	pɾɛsə	Presse	x	zu den Chancen der Friedensinitiative mit Öcalans und Erdogans Preis für die Lösung des Kurdenkonflikts Presse rechnet mit Freilassung tausend kurdischer Häftlinge
taʊzndə	taʊznt	taʊzənt	tausend	x	zu den Chancen der Friedensinitiative mit Öcalans und Erdogans Preis für die Lösung des Kurdenkonflikts Presse rechnet mit Freilassung tausend kurdischer Häftlinge
vaɪtɐmaxn	vaetɛʁmaxən	vaɪtɜmaxən	weitermachen	x	Einfach weitermachen geht nicht glaubt der frühere türkische Minister Kemal Derviş
fʁyəʁə	fʁyɐə	fryərə	frühere	x	Einfach weitermachen geht nicht glaubt der frühere türkische Minister Kemal Derviş
minɪstɐ	mɪnɪstɐ	minɪstɜ	Minister	x	Einfach weitermachen geht nicht glaubt der frühere türkische Minister Kemal Derviş
kəmɑl	kəmal	kemɑl	Kemal	x	Einfach weitermachen geht nicht glaubt der frühere türkische Minister Kemal Derviş
dɜviʃ	dɛʁvi	dɛɾvɪs	Derviş	x	Einfach weitermachen geht nicht glaubt der frühere türkische Minister Kemal Derviş
bʁitɪʃn	bʁitɪʃən	bɾitɪʃən	britischen	x	Die Türkei sollte den britischen Weg gehen Vollmitglied aber weniger integriert
venɪɡɐ	vənɪgɐ	venɪɡɜ	weniger	x	Die Türkei sollte den britischen Weg gehen Vollmitglied aber weniger integriert
vɪʁtʃaft	vɪʁtstshaft	vɪɾtʃaft	Wirtschaft	x	Wäre die Wirtschaft nicht so gut gelaufen wäre er längst weg
pɑnzi	pɔntsi	pɔntsi	Ponzi	x	Er hat es verstanden ein islamisches Ponzi System zu etablieren
ɡəhøɐt	gəhøɐt	ɡəhœɾt	gehört	x	Mit allem was da zu gehört
baʊbum	baoboom	baʊbom	Bauboom	x	Bauboom Arbeiterrechte beschnitten
aʁbaɪtɐʁɛctə	aʁbaetɛʁʁɛctə	aɾbaɪtɜrɛctə	Arbeiterrechte	x	Bauboom Arbeiterrechte beschnitten
bəʃnɪtn	bəʃnɪtən	bəʃnɪtən	beschnitten	x	Bauboom Arbeiterrechte beschnitten
etabliɐtn	etabliʁtən	etabliɾtən	etablierten	x	Und er lässt auch die etablierten Kräfte der Wirtschaft gewähren er weiss halt das er die braucht zum einen als Feigenblatt nach aussen zum anderen wegen dem Kapital und der Erfahrung bzw Kontakten ins Ausland
ɡəvɛʁən	gəvɛʁən	ɡəvɛrən	gewähren	x	Und er lässt auch die etablierten Kräfte der Wirtschaft gewähren er weiss halt das er die braucht zum einen als Feigenblatt nach aussen zum anderen wegen dem Kapital und der Erfahrung bzw Kontakten ins Ausland
waɪs	vaess	vaɪs	weiss	x	Und er lässt auch die etablierten Kräfte der Wirtschaft gewähren er weiss halt das er die braucht zum einen als Feigenblatt nach aussen zum anderen wegen dem Kapital und der Erfahrung bzw Kontakten ins Ausland
faɪɡnblat	faegɛnblat	faɪɡənblat	Feigenblatt	x	Und er lässt auch die etablierten Kräfte der Wirtschaft gewähren er weiss halt das er die braucht zum einen als Feigenblatt nach aussen zum anderen wegen dem Kapital und der Erfahrung bzw Kontakten ins Ausland
aʊssɛn	aoszən	aʊsən	aussen	x	Und er lässt auch die etablierten Kräfte der Wirtschaft gewähren er weiss halt das er die braucht zum einen als Feigenblatt nach aussen zum anderen wegen dem Kapital und der Erfahrung bzw Kontakten ins Ausland
kɔntaktn	kɔntaktən	kɔntaktən	Kontakten	x	Und er lässt auch die etablierten Kräfte der Wirtschaft gewähren er weiss halt das er die braucht zum einen als Feigenblatt nach aussen zum anderen wegen dem Kapital und der Erfahrung bzw Kontakten ins Ausland
maɪstn	məɪstən	maɪstən	meisten	x	Die meisten Türken sehen das islamische bei Erdogan eher als Spleen denn als Gefahr
tʏʁkŋ	tʏʁkən	tyɾkən	Türken	x	Die meisten Türken sehen das islamische bei Erdogan eher als Spleen denn als Gefahr
splin	ʃpləən	ʃpleən	Spleen	x	Die meisten Türken sehen das islamische bei Erdogan eher als Spleen denn als Gefahr
vɪʁtʃaftlɪcn	vɪʁtstshaftlɪcən	vɪɾtʃaftlɪcən	wirtschaftlichen	x	Mal gespannt wie es mit dem wirtschaftlichen Boom weitergeht sobald kein getarnter sondern ein offizieller Islamist an der Macht ist
boʊm	boom	bum	Boom	x	Mal gespannt wie es mit dem wirtschaftlichen Boom weitergeht sobald kein getarnter sondern ein offizieller Islamist an der Macht ist
vaɪtɐɡet	vaetɛʁget	vaɪtɜɡet	weitergeht	x	Mal gespannt wie es mit dem wirtschaftlichen Boom weitergeht sobald kein getarnter sondern ein offizieller Islamist an der Macht ist
ɡətaʁntɐ	gətaʁntɐ	ɡətaɾntɜ	getarnter	x	Mal gespannt wie es mit dem wirtschaftlichen Boom weitergeht sobald kein getarnter sondern ein offizieller Islamist an der Macht ist
ɔfitsiɛlɐ	ɔffitsillɐ	ɔfitsjɛlɜ	offizieller	x	Mal gespannt wie es mit dem wirtschaftlichen Boom weitergeht sobald kein getarnter sondern ein offizieller Islamist an der Macht ist
ateɪstn	atəɪstən	ataɪstən	Atheisten	x	Atheisten und Homosexuellen wirds nicht anders ergehen
homosɛksuɛlən	homozeksuɛllən	homozɛksuɛlən	Homosexuellen	x	Atheisten und Homosexuellen wirds nicht anders ergehen
ɛɐɡeən	ɛʁgeən	ɛɾɡeən	ergehen	x	Atheisten und Homosexuellen wirds nicht anders ergehen
ʊntɐʁɪctət	ʊntɛʁʁɪctət	ʊntɜrɪctət	unterrichtet	x	Einzige Frage darf dann an Schulen etwas unterrichtet werden dass es nicht zu Zeiten des Propheten gab
tsaɪtn	tsəitən	tsaɪtən	Zeiten	x	Einzige Frage darf dann an Schulen etwas unterrichtet werden dass es nicht zu Zeiten des Propheten gab
pʁofetn	pʁɔfətən	pɾofetən	Propheten	x	Einzige Frage darf dann an Schulen etwas unterrichtet werden dass es nicht zu Zeiten des Propheten gab
ɡap	gap	ɡɑp	gab	x	Einzige Frage darf dann an Schulen etwas unterrichtet werden dass es nicht zu Zeiten des Propheten gab
nɔɪəs	nɔɔʏəs	nɔøəs	neues	x	Weil danach darfs ja nix neues geben Mich würde die Definition des Begriffes Islamist interessieren
definitsion	defɪnitɪon	definitsjon	Definition	x	Weil danach darfs ja nix neues geben Mich würde die Definition des Begriffes Islamist interessieren
bəɡʁɪfəs	bəgʁɪffəs	bəɡɾɪfəs	Begriffes	x	Weil danach darfs ja nix neues geben Mich würde die Definition des Begriffes Islamist interessieren
bədɔɪtʊŋ	bədɔɔʏtʊŋ	bədɔøtʊŋ	Bedeutung	x	Auch wenn dieser Begriff keine Bedeutung haben sollte man darf nicht einen Begriff den man für Osama angewendet hat für diese zivilisierte türkische Politiker verwenden und damit gleichsetzen
oʊsɑmə	ozala	ozamɑ	Osama	x	Auch wenn dieser Begriff keine Bedeutung haben sollte man darf nicht einen Begriff den man für Osama angewendet hat für diese zivilisierte türkische Politiker verwenden und damit gleichsetzen
tsiviliziɐtə	tsiviliziʁtə	tsiviliziɾtə	zivilisierte	x	Auch wenn dieser Begriff keine Bedeutung haben sollte man darf nicht einen Begriff den man für Osama angewendet hat für diese zivilisierte türkische Politiker verwenden und damit gleichsetzen
ɡlaɪczɛtsn	glaeksɛtsən	ɡlaɪczɛtsən	gleichsetzen	x	Auch wenn dieser Begriff keine Bedeutung haben sollte man darf nicht einen Begriff den man für Osama angewendet hat für diese zivilisierte türkische Politiker verwenden und damit gleichsetzen
axtn	axtən	axtən	achten	x	Bitte in Zukunft darauf achten liebe Redaktion wäre die Türkei nicht so ein hochgerüsteter Bauernstaat mit reellen Ambitionen zur orientierungslosen Regionalmacht
hoxɡəʁʏstətɐ	hɔxgeʁʏstətɐ	hoxɡərystətɜ	hochgerüsteter	x	Bitte in Zukunft darauf achten liebe Redaktion wäre die Türkei nicht so ein hochgerüsteter Bauernstaat mit reellen Ambitionen zur orientierungslosen Regionalmacht
baʊɛʁnstaat	baoɐnstat	baʊɜnstɑt	Bauernstaat	x	Bitte in Zukunft darauf achten liebe Redaktion wäre die Türkei nicht so ein hochgerüsteter Bauernstaat mit reellen Ambitionen zur orientierungslosen Regionalmacht
ʁeɛlən	ʁəɛllən	relən	reellen	x	Bitte in Zukunft darauf achten liebe Redaktion wäre die Türkei nicht so ein hochgerüsteter Bauernstaat mit reellen Ambitionen zur orientierungslosen Regionalmacht
ambitsionən	ambitɪonən	ambitsjonən	Ambitionen	x	Bitte in Zukunft darauf achten liebe Redaktion wäre die Türkei nicht so ein hochgerüsteter Bauernstaat mit reellen Ambitionen zur orientierungslosen Regionalmacht
oʁiɛntiʁʊŋslozn	ɔʁintiʁʊŋslosən	orɪɛntirʊŋslozən	orientierungslosen	x	Bitte in Zukunft darauf achten liebe Redaktion wäre die Türkei nicht so ein hochgerüsteter Bauernstaat mit reellen Ambitionen zur orientierungslosen Regionalmacht
ʁeɡionalmaxt	ʁegɪonalmaxt	reɡɪonalmaxt	Regionalmacht	x	Bitte in Zukunft darauf achten liebe Redaktion wäre die Türkei nicht so ein hochgerüsteter Bauernstaat mit reellen Ambitionen zur orientierungslosen Regionalmacht
vazal	vazall	vɑzal	Vasall	x	Militärischer Vasall zu sein schadet einer gesunden Entwicklung siehe Kolumbien Iran sie sollten auch ev beachten dass ohne den marshallplan auch so mancher staat in europa noch ein bauernstaat wäre
ɡəzʊndn	gəzʊndən	ɡəzʊndən	gesunden	x	Militärischer Vasall zu sein schadet einer gesunden Entwicklung siehe Kolumbien Iran sie sollten auch ev beachten dass ohne den marshallplan auch so mancher staat in europa noch ein bauernstaat wäre
bitʃtn	bəaxtən	bəaxtən	beachten	x	Militärischer Vasall zu sein schadet einer gesunden Entwicklung siehe Kolumbien Iran sie sollten auch ev beachten dass ohne den marshallplan auch so mancher staat in europa noch ein bauernstaat wäre
maɐʃlplan	maʁsallplan	maɾshalplɑn	marshallplan	x	Militärischer Vasall zu sein schadet einer gesunden Entwicklung siehe Kolumbien Iran sie sollten auch ev beachten dass ohne den marshallplan auch so mancher staat in europa noch ein bauernstaat wäre
mancɐ	manxɐ	mancɜ	mancher	x	Militärischer Vasall zu sein schadet einer gesunden Entwicklung siehe Kolumbien Iran sie sollten auch ev beachten dass ohne den marshallplan auch so mancher staat in europa noch ein bauernstaat wäre
