grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per
acaeciéndome	akaeθjendome	akaeθjendome	ˌakaeθjˈendome	akaeθʝendome	compound	acaeciéndo|me	0.000	0.167	0.083
acaeciéndonos	akaeθjendonos	akaeθjendonos	ˌakaeθjˈendonos	akaeθʝendonos	compound	acaeciéndo|nos	0.000	0.154	0.077
acaeciéndoos	akaeθjendoos	akaeθjendoos	ˌakaeθjˈendoos	akaeθʝendoos	compound	acaeciéndo|os	0.000	0.167	0.083
acaeciéndose	akaeθjendose	akaeθjendose	ˌakaeθjˈendose	akaeθʝendose	compound	acaeciéndo|se	0.000	0.167	0.083
acaeciéndote	akaeθjendote	akaeθjendote	ˌakaeθjˈendote	akaeθʝendote	compound	acaeciéndo|te	0.000	0.167	0.083
acaeció	akaeθjo	akaeˈθjo	ˌakaeθjˈo	akaeθʝo	dict	[]	0.143	0.286	0.143
acaecía	akaeθia	akaeˈθia	ˌakaeθˈia	akaeθia	dict	[]	0.143	0.286	0.000
acaecían	akaeθian	akaeˈθian	ˌakaeθˈian	akaeθian	dict	[]	0.125	0.250	0.000
acaezca	akaeθka	akaeθka	ˌakaˈeθka	akaeθka	dict	[]	0.000	0.286	0.000
acaezcan	akaeθkan	akaeθkan	ˌakaˈeθkan	akaeθkan	dict	[]	0.000	0.250	0.000
acairelada	akaiɾelada	akaiɾelaða	ˌakaɪɾelˈaða	akaiɾelada	compound	ac|aire|lada	0.100	0.400	0.000
acaireladas	akaiɾeladas	akaiɾelaðas	ˌakaɪɾelˈaðas	akaiɾeladas	compound	ac|aire|ladas	0.091	0.364	0.000
acairelado	akaiɾelado	akaiɾelaðo	ˌakaɪɾelˈaðo	akaiɾelado	compound	ac|aire|lado	0.100	0.400	0.000
acairelados	akaiɾelados	akaiɾelaðos	ˌakaɪɾelˈaðos	akaiɾelados	compound	ac|aire|lados	0.091	0.364	0.000
acairelar	akaiɾelaɾ	akaiɾelaɾ	ˌakaɪɾelˈaɾ	akaiɾelaɾ	compound	ac|aire|lar	0.000	0.333	0.000
acal	akal	akal	akˈal	akal	compound	aca|l	0.000	0.250	0.000
acalambrada	akalambɾada	akalambɾaða	ˌakalambɾˈaða	akalambɾada	dict	[]	0.091	0.273	0.000
acalambradas	akalambɾadas	akalambɾaðas	ˌakalambɾˈaðas	akalambɾadas	dict	[]	0.083	0.250	0.000
acalambrado	akalambɾado	akalambɾaðo	ˌakalambɾˈaðo	akalambɾado	dict	[]	0.091	0.273	0.000
acalambrados	akalambɾados	akalambɾaðos	ˌakalambɾˈaðos	akalambɾados	dict	[]	0.083	0.250	0.000
acalambrar	akalambɾaɾ	akalambɾaɾ	ˌakalambɾˈaɾ	akalambɾaɾ	dict	[]	0.000	0.200	0.000
acalasia	akalasja	akalasja	ˌakalˈasja	akalasʝa	compound	aca|las|ia	0.000	0.250	0.125
acalenturado	akalentuɾado	akalentuɾaðo	ˌakalˌentuɾˈaðo	akalentuɾado	compound	aca|l|enturado	0.083	0.333	0.000
acalicino	akaliθino	akaliˈθino	ˌakaliθˈino	akaliθino	all_lang	[]	0.111	0.222	0.000
acalifa	akalifa	akalifa	ˌakalˈifa	akalifa	compound	ac|alifa	0.000	0.286	0.000
acallada	akaʝada	akaʎaða	ˌakaʎˈaða	akaʎada	dict	[]	0.286	0.571	0.143
acalladas	akaʝadas	akaʎaðas	ˌakaʎˈaðas	akaʎadas	dict	[]	0.250	0.500	0.125
acallado	akaʝado	akaʎaðo	ˌakaʎˈaðo	akaʎado	dict	[]	0.286	0.571	0.143
acallados	akaʝados	akaʎaðos	ˌakaʎˈaðos	akaʎados	dict	[]	0.250	0.500	0.125
acallar	akaʝaɾ	akaʎaɾ	ˌakaʎˈaɾ	akaʎaɾ	dict	[]	0.167	0.500	0.167
acalmada	akalmada	akalmaða	ˌakalmˈaða	akalmada	compound	a|calmada	0.125	0.375	0.000
acalmadas	akalmadas	akalmaðas	ˌakalmˈaðas	akalmadas	compound	a|calmadas	0.111	0.333	0.000
acalmado	akalmado	akalmaðo	ˌakalmˈaðo	akalmado	compound	a|calmado	0.125	0.375	0.000
acalmados	akalmados	akalmaðos	ˌakalmˈaðos	akalmados	compound	a|calmados	0.111	0.333	0.000
acalmamos	akalmamos	akalmamos	ˌakalmˈamos	akalmamos	compound	a|calmamos	0.000	0.222	0.000
acalmar	akalmaɾ	akalmaɾ	ˌakalmˈaɾ	akalmaɾ	compound	a|calmar	0.000	0.286	0.000
acalorado	akaloɾado	akaloɾaðo	ˌakaloɾˈaðo	akaloɾado	dict	[]	0.111	0.333	0.000
acaloramiento	akaloɾamjento	akaloɾamjento	ˌakalˌoɾamjˈɛnto	akaloɾamʝento	dict	[]	0.000	0.308	0.077
acalorar	akaloɾaɾ	akaloɾaɾ	ˌakaloɾˈaɾ	akaloɾaɾ	dict	[]	0.000	0.250	0.000
acalorarse	akaloɾaɾse	akaloɾaɾse	ˌakaloɾˈaɾse	akaloɾaɾse	dict	[]	0.000	0.200	0.000
acaloro	akaloɾo	akaloɾo	ˌakalˈoɾo	akaloɾo	dict	[]	0.000	0.286	0.000
acamar	akamaɾ	akamaɾ	ˌakamˈaɾ	akamaɾ	compound	aca|mar	0.000	0.333	0.000
acamellado	akameʝado	akameʎaðo	ˌakameʎˈaðo	akameʎado	compound	aca|mellado	0.222	0.444	0.111
acampada	akampada	akampaða	ˌakampˈaða	akampada	dict	[]	0.125	0.375	0.000
acampadas	akampadas	akampaðas	ˌakampˈaðas	akampadas	dict	[]	0.111	0.333	0.000
acampado	akampado	akampaðo	ˌakampˈaðo	akampado	dict	[]	0.125	0.375	0.000
acampados	akampados	akampaðos	ˌakampˈaðos	akampados	dict	[]	0.111	0.333	0.000
acampamento	akampamento	akampamento	ˌakampamˈɛnto	akampamento	compound	a|campamento	0.000	0.273	0.000
acampamos	akampamos	akampamos	ˌakampˈamos	akampamos	dict	[]	0.000	0.222	0.000
acampanado	akampanado	akampanaðo	ˌakampanˈaðo	akampanado	dict	[]	0.100	0.300	0.000
acampanar	akampanaɾ	akampanaɾ	ˌakampanˈaɾ	akampanaɾ	dict	[]	0.000	0.222	0.000
acampar	akampaɾ	akampaɾ	ˌakampˈaɾ	akampaɾ	dict	[]	0.000	0.286	0.000
acanalada	akanalada	akanalaða	ˌakanalˈaða	akanalada	dict	[]	0.111	0.333	0.000
acanaladas	akanaladas	akanalaðas	ˌakanalˈaðas	akanaladas	dict	[]	0.100	0.300	0.000
acanalado	akanalado	akanalaðo	ˌakanalˈaðo	akanalado	dict	[]	0.111	0.333	0.000
acanaladura	akanaladuɾa	akanalaðuɾa	ˌakanˌalaðˈuɾa	akanaladuɾa	dict	[]	0.091	0.364	0.000
acanalar	akanalaɾ	akanalaɾ	ˌakanalˈaɾ	akanalaɾ	dict	[]	0.000	0.250	0.000
acangrejado	akanɡɾexado	akanɡrexaðo	ˌakaŋɡɾexˈaðo	akangɾexado	compound	aca|ng|rejado	0.182	0.364	0.091
acano	akano	akano	akˈano	akano	compound	aca|no	0.000	0.200	0.000
acantilada	akantilada	akantilaða	ˌakantilˈaða	akantilada	dict	[]	0.100	0.300	0.000
acantiladas	akantiladas	akantilaðas	ˌakantilˈaðas	akantiladas	dict	[]	0.091	0.273	0.000
acantilado	akantilado	akantilaðo	ˌakantilˈaðo	akantilado	dict	[]	0.100	0.300	0.000
acantilados	akantilados	akantilaðos	ˌakantilˈaðos	akantilados	dict	[]	0.091	0.273	0.000
acantilar	akantilaɾ	akantilar	ˌakantilˈaɾ	akantilaɾ	compound	aca|nt|ila|r	0.111	0.222	0.000
acantinflada	akantinflada	akantimflaða	ˌakantimflˈaða	akantimflada	compound	aca|nt|inflada	0.167	0.333	0.083
acantinfladas	akantinfladas	akantimflaðas	ˌakantimflˈaðas	akantimfladas	compound	aca|nt|infladas	0.154	0.308	0.077
acantinflado	akantinflado	akantimflaðo	ˌakantimflˈaðo	akantimflado	compound	aca|nt|inflado	0.167	0.333	0.083
acantinflados	akantinflados	akantimflaðos	ˌakantimflˈaðos	akantimflados	compound	aca|nt|inflados	0.154	0.308	0.077
acantita	akantita	akantita	ˌakantˈita	akantita	compound	aca|nt|ita	0.000	0.250	0.000
acanto	akanto	akanto	akˈanto	akanto	dict	[]	0.000	0.167	0.000
acantocito	akantoθito	akantoθito	ˌakantoθˈito	akantoθito	compound	acanto|cito	0.000	0.200	0.000
acantonada	akantonada	akantonaða	ˌakantonˈaða	akantonada	dict	[]	0.100	0.300	0.000
acantonadas	akantonadas	akantonaðas	ˌakantonˈaðas	akantonadas	dict	[]	0.091	0.273	0.000
acantonado	akantonado	akantonaðo	ˌakantonˈaðo	akantonado	dict	[]	0.100	0.300	0.000
acantonados	akantonados	akantonaðos	ˌakantonˈaðos	akantonados	dict	[]	0.091	0.273	0.000
acantonamiento	akantonamjento	akantonamjento	ˌakantˌonamjˈɛnto	akantonamʝento	dict	[]	0.000	0.286	0.071
acantonar	akantonaɾ	akantonaɾ	ˌakantonˈaɾ	akantonaɾ	dict	[]	0.000	0.222	0.000
acantosis	akantosis	akantosis	ˌakantˈosis	akantosis	compound	acantos|is	0.000	0.222	0.000
acantácea	akantaθea	akanˈtaθea	ˌakantˈaθea	akantaθea	dict	[]	0.111	0.222	0.000
acantáceas	akantaθeas	akanˈtaθeas	ˌakantˈaθeas	akantaθeas	dict	[]	0.100	0.200	0.000
acantáceo	akantaθeo	akanˈtaθeo	ˌakantˈaθeo	akantaθeo	dict	[]	0.111	0.222	0.000
acantáceos	akantaθeos	akanˈtaθeos	ˌakantˈaθeos	akantaθeos	dict	[]	0.100	0.200	0.000
acaparación	akapaɾaθjon	akapaɾaθjon	ˌakapˌaɾaθjˈon	akapaɾaθʝon	compound	acapara|ción	0.000	0.273	0.091
acaparada	akapaɾada	akapaɾaða	ˌakapaɾˈaða	akapaɾada	dict	[]	0.111	0.333	0.000
acaparadas	akapaɾadas	akapaɾaðas	ˌakapaɾˈaðas	akapaɾadas	dict	[]	0.100	0.300	0.000
acaparado	akapaɾado	akapaɾaðo	ˌakapaɾˈaðo	akapaɾado	dict	[]	0.111	0.333	0.000
acaparador	akapaɾadoɾ	akapaɾaðoɾ	ˌakapˌaɾaðˈoɾ	akapaɾadoɾ	dict	[]	0.100	0.400	0.000
acaparadora	akapaɾadoɾa	akapaɾaðoɾa	ˌakapˌaɾaðˈoɾa	akapaɾadoɾa	dict	[]	0.091	0.364	0.000
acaparados	akapaɾados	akapaɾaðos	ˌakapaɾˈaðos	akapaɾados	dict	[]	0.100	0.300	0.000
acaparamiento	akapaɾamjento	akapaɾamjento	ˌakapˌaɾamjˈɛnto	akapaɾamʝento	dict	[]	0.000	0.308	0.077
acaparar	akapaɾaɾ	akapaɾaɾ	ˌakapaɾˈaɾ	akapaɾaɾ	dict	[]	0.000	0.250	0.000
acarajotado	akaɾaxotado	akaraxotado	ˌakaɾˌaxotˈaðo	akaɾaxotado	compound	aca|rajo|ta|do	0.091	0.364	0.000
acaramelada	akaɾamelada	akaɾamelaða	ˌakaɾˌamelˈaða	akaɾamelada	dict	[]	0.091	0.364	0.000
acarameladas	akaɾameladas	akaɾamelaðas	ˌakaɾˌamelˈaðas	akaɾameladas	dict	[]	0.083	0.333	0.000
acaramelado	akaɾamelado	akaɾamelaðo	ˌakaɾˌamelˈaðo	akaɾamelado	dict	[]	0.091	0.364	0.000
acaramelados	akaɾamelados	akaɾamelaðos	ˌakaɾˌamelˈaðos	akaɾamelados	dict	[]	0.083	0.333	0.000
acaramelar	akaɾamelaɾ	akaɾamelaɾ	ˌakaɾˌamelˈaɾ	akaɾamelaɾ	dict	[]	0.000	0.300	0.000
acarbosa	akaɾbosa	akarbosa	ˌakaɾβˈosa	akaɾbosa	compound	aca|r|b|osa	0.125	0.375	0.000
acardenalada	akaɾdenalada	akaɾðenalaða	ˌakaɾðˌenalˈaða	akaɾdenalada	dict	[]	0.167	0.417	0.000
acardenaladas	akaɾdenaladas	akaɾðenalaðas	ˌakaɾðˌenalˈaðas	akaɾdenaladas	dict	[]	0.154	0.385	0.000
acardenalado	akaɾdenalado	akaɾðenalaðo	ˌakaɾðˌenalˈaðo	akaɾdenalado	dict	[]	0.167	0.417	0.000
acardenalados	akaɾdenalados	akaɾðenalaðos	ˌakaɾðˌenalˈaðos	akaɾdenalados	dict	[]	0.154	0.385	0.000
acardenalar	akaɾdenalaɾ	akaɾðenalaɾ	ˌakaɾðˌenalˈaɾ	akaɾdenalaɾ	dict	[]	0.091	0.364	0.000
acaricia	akaɾiθja	akaɾiθja	ˌakaɾˈiθja	akaɾiθʝa	dict	[]	0.000	0.250	0.125
acariciable	akaɾiθjable	akaɾiθjable	ˌakaɾiθjˈaβle	akaɾiθʝable	compound	acaricia|b|le	0.000	0.273	0.091
acariciada	akaɾiθjada	akaɾiθjaða	ˌakaɾiθjˈaða	akaɾiθʝada	dict	[]	0.100	0.300	0.100
acariciadas	akaɾiθjadas	akaɾiθjaðas	ˌakaɾiθjˈaðas	akaɾiθʝadas	dict	[]	0.091	0.273	0.091
acariciado	akaɾiθjado	akaɾiθjaðo	ˌakaɾiθjˈaðo	akaɾiθʝado	dict	[]	0.100	0.300	0.100
acariciador	akaɾiθjadoɾ	akaɾiθjaðoɾ	ˌakaɾˌiθjaðˈoɾ	akaɾiθʝadoɾ	dict	[]	0.091	0.364	0.091
acariciados	akaɾiθjados	akaɾiθjaðos	ˌakaɾiθjˈaðos	akaɾiθʝados	dict	[]	0.091	0.273	0.091
acariciamos	akaɾiθjamos	akaɾiθjamos	ˌakaɾiθjˈamos	akaɾiθʝamos	dict	[]	0.000	0.182	0.091
acariciando	akaɾiθjando	akaɾiθjando	ˌakaɾiθjˈando	akaɾiθʝando	dict	[]	0.000	0.182	0.091
acariciar	akaɾiθjaɾ	akaɾiθjaɾ	ˌakaɾiθjˈaɾ	akaɾiθʝaɾ	dict	[]	0.000	0.222	0.111
acariciares	akaɾiθjaɾes	akaɾiθjaɾes	ˌakaɾiθjˈaɾes	akaɾiθʝaɾes	dict	[]	0.000	0.182	0.091
acaricida	akaɾiθida	akariθiða	ˌakaɾiθˈiða	akaɾiθida	compound	aca|ri|cid|a	0.222	0.333	0.000
acaricies	akaɾiθjes	akaɾiθjes	ˌakaɾˈiθjes	akaɾiθʝes	dict	[]	0.000	0.222	0.111
acaricio	akaɾiθjo	akaɾiθjo	ˌakaɾˈiθjo	akaɾiθʝo	dict	[]	0.000	0.250	0.125
acariciá	akaɾiθja	akaɾiˈθja	ˌakaɾiθjˈa	akaɾiθʝa	compound	[]	0.125	0.250	0.125
acariciés	akaɾiθjes	akaɾiˈθjes	ˌakaɾiθjˈes	akaɾiθʝes	compound	acaricié|s	0.111	0.222	0.111
acarnanio	akaɾnanjo	akaɾnanjo	ˌakaɾnˈanjo	akaɾnanʝo	dict	[]	0.000	0.222	0.111
acarreada	akareada	akareaða	ˌakaɾɾeˈaða	akareada	dict	[]	0.125	0.625	0.000
acarreadas	akareadas	akareaðas	ˌakaɾɾeˈaðas	akareadas	dict	[]	0.111	0.556	0.000
acarreado	akareado	akareaðo	ˌakaɾɾeˈaðo	akareado	dict	[]	0.125	0.625	0.000
acarreador	akareadoɾ	akareaðoɾ	ˌakaɾɾˌeaðˈoɾ	akareadoɾ	dict	[]	0.111	0.667	0.000
acarreados	akareados	akareaðos	ˌakaɾɾeˈaðos	akareados	dict	[]	0.111	0.556	0.000
acarrear	akareaɾ	akareaɾ	ˌakaɾɾeˈaɾ	akareaɾ	dict	[]	0.000	0.571	0.000
acarreo	akareo	akareo	ˌakaɾɾˈeo	akareo	dict	[]	0.000	0.667	0.000
acartonado	akaɾtonado	akaɾtonaðo	ˌakaɾtonˈaðo	akaɾtonado	dict	[]	0.100	0.300	0.000
acartonar	akaɾtonaɾ	akaɾtonaɾ	ˌakaɾtonˈaɾ	akaɾtonaɾ	dict	[]	0.000	0.222	0.000
acartonarse	akaɾtonaɾse	akaɾtonaɾse	ˌakaɾtonˈaɾse	akaɾtonaɾse	dict	[]	0.000	0.182	0.000
acaso	akaso	akaso	akˈaso	akaso	dict	[]	0.000	0.200	0.000
acastillada	akastiʝada	akastiʎaða	ˌakastiʎˈaða	akastiʎada	dict	[]	0.200	0.400	0.100
acastilladas	akastiʝadas	akastiʎaðas	ˌakastiʎˈaðas	akastiʎadas	dict	[]	0.182	0.364	0.091
acastillado	akastiʝado	akastiʎaðo	ˌakastiʎˈaðo	akastiʎado	dict	[]	0.200	0.400	0.100
acastillados	akastiʝados	akastiʎaðos	ˌakastiʎˈaðos	akastiʎados	dict	[]	0.182	0.364	0.091
acastillar	akastiʝaɾ	akastiʎaɾ	ˌakastiʎˈaɾ	akastiʎaɾ	compound	ac|astillar	0.111	0.333	0.111
acatada	akatada	akataða	ˌakatˈaða	akatada	dict	[]	0.143	0.429	0.000
acatadas	akatadas	akataðas	ˌakatˈaðas	akatadas	dict	[]	0.125	0.375	0.000
acatado	akatado	akataðo	ˌakatˈaðo	akatado	dict	[]	0.143	0.429	0.000
acatados	akatados	akataðos	ˌakatˈaðos	akatados	dict	[]	0.125	0.375	0.000
acatamiento	akatamjento	akatamjento	ˌakatamjˈɛnto	akatamʝento	dict	[]	0.000	0.273	0.091
acatamos	akatamos	akatamos	ˌakatˈamos	akatamos	dict	[]	0.000	0.250	0.000
acatar	akataɾ	akataɾ	ˌakatˈaɾ	akataɾ	dict	[]	0.000	0.333	0.000
acatarrada	akatarada	akataraða	ˌakataɾɾˈaða	akatarada	dict	[]	0.111	0.556	0.000
acatarradas	akataradas	akataraðas	ˌakataɾɾˈaðas	akataradas	dict	[]	0.100	0.500	0.000
acatarrado	akatarado	akataraðo	ˌakataɾɾˈaðo	akatarado	dict	[]	0.111	0.556	0.000
acatarrados	akatarados	akataraðos	ˌakataɾɾˈaðos	akatarados	dict	[]	0.100	0.500	0.000
acatarrar	akataraɾ	akataraɾ	ˌakataɾɾˈaɾ	akataraɾ	dict	[]	0.000	0.500	0.000
acatarrarse	akataraɾse	akataraɾse	ˌakataɾɾˈaɾse	akataraɾse	dict	[]	0.000	0.400	0.000
acateco	akateko	akateko	ˌakatˈeko	akateko	compound	acate|co	0.000	0.286	0.000
acaudalado	akaudalado	akauðalaðo	ˌakaʊðalˈaðo	akaudalado	dict	[]	0.200	0.500	0.000
acaudalar	akaudalaɾ	akauðalaɾ	ˌakaʊðalˈaɾ	akaudalaɾ	dict	[]	0.111	0.444	0.000
acaudillada	akaudiʝada	akauðiʎaða	ˌakaʊðiʎˈaða	akaudiʎada	dict	[]	0.300	0.600	0.100
acaudilladas	akaudiʝadas	akauðiʎaðas	ˌakaʊðiʎˈaðas	akaudiʎadas	dict	[]	0.273	0.545	0.091
acaudillado	akaudiʝado	akauðiʎaðo	ˌakaʊðiʎˈaðo	akaudiʎado	dict	[]	0.300	0.600	0.100
acaudillados	akaudiʝados	akauðiʎaðos	ˌakaʊðiʎˈaðos	akaudiʎados	dict	[]	0.273	0.545	0.091
acaudillar	akaudiʝaɾ	akauðiʎaɾ	ˌakaʊðiʎˈaɾ	akaudiʎaɾ	dict	[]	0.222	0.556	0.111
acaule	akaule	akaule	akˈaʊle	akaule	compound	aca|ul|e	0.000	0.333	0.000
acaulescente	akaulesθente	akaulesθente	ˌakaʊlesθˈɛnte	akaulesθente	compound	aca|ul|es|cen|te	0.000	0.333	0.000
acazanate	akaθanate	akaθanate	ˌakaθanˈate	akaθanate	compound	aca|zanate	0.000	0.222	0.000
acañoneada	akaɲoneada	akaɲoneaða	ˌakaɲˌoneˈaða	akaɲoneada	dict	[]	0.100	0.400	0.000
acañoneadas	akaɲoneadas	akaɲoneaðas	ˌakaɲˌoneˈaðas	akaɲoneadas	dict	[]	0.091	0.364	0.000
acañoneado	akaɲoneado	akaɲoneaðo	ˌakaɲˌoneˈaðo	akaɲoneado	dict	[]	0.100	0.400	0.000
acañoneados	akaɲoneados	akaɲoneaðos	ˌakaɲˌoneˈaðos	akaɲoneados	dict	[]	0.091	0.364	0.000
acañonear	akaɲoneaɾ	akaɲoneaɾ	ˌakaɲˌoneˈaɾ	akaɲoneaɾ	dict	[]	0.000	0.333	0.000
acceder	aɡθedeɾ	akθeðeɾ	ˌakθeðˈeɾ	akθedeɾ	dict	[]	0.286	0.571	0.143
accedida	aɡθedida	akθeðiða	ˌakθeðˈiða	akθedida	dict	[]	0.375	0.625	0.125
accedidas	aɡθedidas	akθeðiðas	ˌakθeðˈiðas	akθedidas	dict	[]	0.333	0.556	0.111
accedido	aɡθedido	akθeðiðo	ˌakθeðˈiðo	akθedido	dict	[]	0.375	0.625	0.125
accedidos	aɡθedidos	akθeðiðos	ˌakθeðˈiðos	akθedidos	dict	[]	0.333	0.556	0.111
accesada	aɡθesada	akθesaða	ˌakθesˈaða	akθesada	compound	ac|cesada	0.250	0.500	0.125
accesadas	aɡθesadas	akθesaðas	ˌakθesˈaðas	akθesadas	compound	ac|cesadas	0.222	0.444	0.111
accesado	aɡθesado	akθesaðo	ˌakθesˈaðo	akθesado	compound	ac|cesado	0.250	0.500	0.125
accesados	aɡθesados	akθesaðos	ˌakθesˈaðos	akθesados	compound	ac|cesados	0.222	0.444	0.111
accesar	aɡθesaɾ	akθesaɾ	ˌakθesˈaɾ	akθesaɾ	compound	ac|cesar	0.143	0.429	0.143
accesibilidad	aɡθesibilidad	akθesiβiliðað	ˌakθesˌiβiliðˈad	akθesibilidad	dict	[]	0.308	0.462	0.077
accesible	aɡθesible	akθesiβle	ˌakθesˈiβle	akθesible	dict	[]	0.222	0.444	0.111
accesitario	aɡθesitaɾjo	akθesitarjo	ˌakθesitˈaɾjo	akθesitaɾʝo	compound	ac|ces|ita|rio	0.182	0.273	0.182
accesión	aɡθesjon	akθeˈsjon	ˌakθesjˈon	akθesʝon	dict	[]	0.250	0.375	0.250
acceso	aɡθeso	akθeso	akθˈeso	akθeso	dict	[]	0.167	0.333	0.167
accesoriedad	aɡθesoɾjedad	akθesorieðað	ˌakθesˌoɾjeðˈad	akθesoɾʝedad	compound	acceso|ri|edad	0.417	0.417	0.167
accesorio	aɡθesoɾjo	akθesoɾjo	ˌakθesˈoɾjo	akθesoɾʝo	dict	[]	0.111	0.333	0.222
accidentabilidad	aɡθidentabilidad	akθiðentabiliðad	ˌakθiðˌentaβˌiliðˈad	akθidentabilidad	compound	accidenta|bi|lid|ad	0.188	0.500	0.062
accidentada	aɡθidentada	akθiðentaða	ˌakθiðentˈaða	akθidentada	dict	[]	0.273	0.455	0.091
accidentadas	aɡθidentadas	akθiðentaðas	ˌakθiðentˈaðas	akθidentadas	dict	[]	0.250	0.417	0.083
accidentado	aɡθidentado	akθiðentaðo	ˌakθiðentˈaðo	akθidentado	dict	[]	0.273	0.455	0.091
accidentados	aɡθidentados	akθiðentaðos	ˌakθiðentˈaðos	akθidentados	dict	[]	0.250	0.417	0.083
accidental	aɡθidental	akθiðental	ˌakθiðentˈal	akθidental	dict	[]	0.200	0.400	0.100
accidentalidad	aɡθidentalidad	akθiðentaliðað	ˌakθiðˌentaliðˈad	akθidentalidad	dict	[]	0.286	0.429	0.071
accidentalmente	aɡθidentalmente	akθiðentalmente	ˌakθiðentˈalmˈente	akθidentalmente	dict	[]	0.133	0.333	0.067
accidentar	aɡθidentaɾ	akθiðentaɾ	ˌakθiðentˈaɾ	akθidentaɾ	dict	[]	0.200	0.400	0.100
accidente	aɡθidente	akθiðente	ˌakθiðˈɛnte	akθidente	dict	[]	0.222	0.556	0.111
accionada	aɡθjonada	akθjonaða	ˌakθjonˈaða	akθʝonada	dict	[]	0.222	0.444	0.222
accionadas	aɡθjonadas	akθjonaðas	ˌakθjonˈaðas	akθʝonadas	dict	[]	0.200	0.400	0.200
accionado	aɡθjonado	akθjonaðo	ˌakθjonˈaðo	akθʝonado	dict	[]	0.222	0.444	0.222
accionador	aɡθjonadoɾ	akθjonaðoɾ	ˌakθjonaðˈoɾ	akθʝonadoɾ	dict	[]	0.200	0.400	0.200
accionados	aɡθjonados	akθjonaðos	ˌakθjonˈaðos	akθʝonados	dict	[]	0.200	0.400	0.200
accionamiento	aɡθjonamjento	akθjonamjento	ˌakθjonamjˈɛnto	akθʝonamʝento	dict	[]	0.077	0.308	0.231
accionar	aɡθjonaɾ	akθjonaɾ	ˌakθjonˈaɾ	akθʝonaɾ	dict	[]	0.125	0.375	0.250
accionariado	aɡθjonaɾjado	akθjonaɾjaðo	ˌakθjonaɾjˈaðo	akθʝonaɾʝado	dict	[]	0.167	0.333	0.250
accionarial	aɡθjonaɾjal	akθjonaɾjal	ˌakθjonaɾjˈal	akθʝonaɾʝal	dict	[]	0.091	0.273	0.273
accionario	aɡθjonaɾjo	akθjonaɾjo	ˌakθjonˈaɾjo	akθʝonaɾʝo	compound	accionar|io	0.100	0.300	0.300
acciones	aɡθjones	akθjones	akθjˈones	akθʝones	dict	[]	0.125	0.250	0.250
accionista	aɡθjonista	akθjonista	ˌakθjonˈista	akθʝonista	dict	[]	0.100	0.300	0.200
accitano	aɡθitano	akθitano	ˌakθitˈano	akθitano	dict	[]	0.125	0.375	0.125
acción	aɡθjon	aˈkθjon	akθjˈon	akθʝon	dict	[]	0.333	0.333	0.333
acebedo	aθebedo	aθebedo	ˌaθeβˈeðo	aθebedo	compound	ace|be|do	0.000	0.571	0.000
acebibe	aθebibe	aθebibe	ˌaθeβˈiβe	aθebibe	compound	ace|bi|be	0.000	0.571	0.000
acebiño	aθebiɲo	aθebiɲo	ˌaθeβˈiɲo	aθebiɲo	compound	ace|bi|ño	0.000	0.429	0.000
acebo	aθebo	aθeβo	aθˈeβo	aθebo	dict	[]	0.200	0.400	0.000
acebollado	aθeboʝado	aθeboʎaðo	ˌaθeβoʎˈaðo	aθeboʎado	compound	ace|bollado	0.222	0.556	0.111
acebuchal	aθebutʃal	aθebutʃal	ˌaθeβutʃˈal	aθebutʃal	compound	ace|bu|chal	0.000	0.333	0.000
acebuche	aθebutʃe	aθeβutʃe	ˌaθeβˈutʃe	aθebutʃe	dict	[]	0.125	0.375	0.000
acechada	aθetʃada	aθetʃaða	ˌaθetʃˈaða	aθetʃada	dict	[]	0.125	0.375	0.000
acechadas	aθetʃadas	aθetʃaðas	ˌaθetʃˈaðas	aθetʃadas	dict	[]	0.111	0.333	0.000
acechado	aθetʃado	aθetʃaðo	ˌaθetʃˈaðo	aθetʃado	dict	[]	0.125	0.375	0.000
acechador	aθetʃadoɾ	aθetʃaðoɾ	ˌaθetʃaðˈoɾ	aθetʃadoɾ	dict	[]	0.111	0.333	0.000
acechadora	aθetʃadoɾa	aθetʃaðoɾa	ˌaθetʃaðˈoɾa	aθetʃadoɾa	dict	[]	0.100	0.300	0.000
acechados	aθetʃados	aθetʃaðos	ˌaθetʃˈaðos	aθetʃados	dict	[]	0.111	0.333	0.000
acechante	aθetʃante	aθetʃante	ˌaθetʃˈante	aθetʃante	compound	acechan|te	0.000	0.222	0.000
acechantes	aθetʃantes	aθetʃantes	ˌaθetʃˈantes	aθetʃantes	compound	acechan|tes	0.000	0.200	0.000
acechanza	aθetʃanθa	aθetʃanθa	ˌaθetʃˈanθa	aθetʃanθa	dict	[]	0.000	0.222	0.000
acechar	aθetʃaɾ	aθetʃaɾ	ˌaθetʃˈaɾ	aθetʃaɾ	dict	[]	0.000	0.286	0.000
aceche	aθetʃe	aθetʃe	aθˈetʃe	aθetʃe	dict	[]	0.000	0.167	0.000
acecho	aθetʃo	aθetʃo	aθˈetʃo	aθetʃo	dict	[]	0.000	0.167	0.000
aceda	aθeda	aθeða	aθˈeða	aθeda	dict	[]	0.200	0.400	0.000
acedada	aθedada	aθeðaða	ˌaθeðˈaða	aθedada	dict	[]	0.286	0.571	0.000
