al	/al/
děvkař	/ˈɟɛfkar̝̊/
děvkařit	/ɟɛfkar̝ɪt/
děvkařit	/ˈɟɛfkar̝ɪt/
děvčat	/ɟɛftʃat/
děvčat	/ɟɛft͡ʃat/
děvče	/ɟɛftʃɛ/
děvčátko	/ɟɛftʃaːtko/
děvčátko	/ɟɛft͡ʃaːtkɔ/
děčan	/ɟɛtʃan/
děčan	/ɟɛt͡ʃan/
děčanský	/ɟɛtʃanskiː/
děčanský	/ɟɛt͡ʃanskiː/
děčín	/ɟɛtʃiːn/
děčín	/ɟɛt͡ʃiːn/
děčínsko	/ɟɛtʃiːnsko/
děčínsko	/ɟɛt͡ʃiːnskɔ/
děčínský	/ɟɛtʃiːnskiː/
děčínský	/ɟɛt͡ʃiːnskiː/
děčíňan	/ɟɛtʃiːɲan/
děčíňan	/ɟɛt͡ʃiːɲan/
děčíňanka	/ɟɛtʃiːɲanka/
děčíňanka	/ɟɛt͡ʃiːɲanka/
děťátko	/ɟɛcaːtko/
děťátko	/ɟɛcaːtkɔ/
dře	/dr̝ɛ/
dřemlík tundrový	/dr̝ɛmliːk tʊndrɔviː/
dřeni	/dr̝ɛɲɪ/
dřepovat	/tr̝ɛpovat/
dřepovat	/ˈdr̝ɛ.pɔvat/
dřepět	/dr̝ɛpjɛt/
dřepět	/ˈdr̝ɛpjɛt/
dřev	/dr̝ɛf/
dřeva	/dr̝ɛva/
dřevař	/dr̝ɛvar̝/
dřevař	/dr̝ɛvar̝̊/
dřevaře	/dr̝ɛvar̝ɛ/
dřevařem	/dr̝ɛvar̝ɛm/
dřevaři	/dr̝ɛvar̝ɪ/
dřevařovi	/dr̝ɛvar̝ovɪ/
dřevařovi	/dr̝ɛvar̝ɔvɪ/
dřevařové	/dr̝ɛvar̝ovɛː/
dřevařové	/dr̝ɛvar̝ɔvɛː/
dřevařích	/dr̝ɛvar̝iːx/
dřevařů	/dr̝ɛvar̝uː/
dřevařům	/dr̝ɛvar̝uːm/
dřevce	/dr̝ɛftsɛ/
dřevce	/ˈdr̝ɛf.t͡sɛ/
dřevec	/ˈdr̝ɛ.vɛt͡s/
dřevina	/dr̝ɛvɪna/
dřevnatý	/dr̝ɛvnatiː/
dřevník	/dr̝ɛvɲiːk/
dřevný	/tr̝ɛvniː/
dřevo	/dr̝ɛvo/
dřevo	/dr̝ɛvɔ/
dřevomorka	/dr̝ɛvɔmɔrka/
dřevomorky	/dr̝ɛvomorkɪ/
dřevomorky	/dr̝ɛvɔmɔrkɪ/
dřevorubec	/tr̝ɛvorubɛts/
dřevorubec	/dr̝ɛvɔrʊbɛt͡s/
dřevorubecký	/tr̝ɛvorubɛtskiː/
dřevorubecký	/tr̝ɛvɔrʊbɛt͡skiː/
dřevostavba	/ˈdr̝ɛvɔstavba/
dřevotříska	/dr̝ɛvotr̝iːska/
dřevotříska	/dr̝ɛvɔtr̝̊iːska/
dřevovník našedlý	/tr̝ɛvɔvɲiːk naʃɛdliː/
dřevořezba	/dr̝ɛvor̝ɛzba/
dřevořezba	/dr̝ɛvɔr̝ɛzba/
dřevák	/dr̝ɛvaːk/
dřevěnou	/dr̝ɛvjɛnou/
dřevěnou	/dr̝ɛvjɛnɔʊ̯/
dřevěná	/dr̝ɛvjɛnaː/
dřevěná svatba	/dr̝ɛvjɛnaː svadba/
dřevěné	/dr̝ɛvjɛnɛː/
dřevěné uhlí	/ˈdr̝ɛvjɛnɛː ˈʔʊɦliː/
dřevěného	/dr̝ɛvjɛnɛːɦo/
dřevěného	/dr̝ɛvjɛnɛːɦɔ/
dřevěný	/dr̝ɛvjɛniː/
dřevěných	/dr̝ɛvjɛniːx/
dřez	/dr̝ɛs/
dřeň	/dr̝ɛɲ/
dřeš	/dr̝ɛʃ/
dři	/dr̝ɪ/
dřin	/dr̝ɪn/
dřina	/dr̝ɪna/
dřišťál	/ˈdr̝̊ɪʃcaːl/
dřu	/dr̝ˈu/
dřu	/dr̝ʊ/
dřík	/dr̝ˈiːk/
dřík	/dr̝iːk/
dřín	/dr̝iːn/
dřínotvaré	/dr̝iːnɔtvarɛː/
dřít	/dr̝iːt/
dřít jako kůň	/ˈdr̝iːt ˈjakɔ ˈkuːɲ/
dříti	/dr̝iːcɪ/
dříti	/ˈdr̝iːcɪ/
dřív	/dr̝iːf/
dříve	/dr̝iːvɛ/
dříví	/dr̝ˈiːviː/
dříví	/dr̝iːviː/
dříví na podpal	/ˈdr̝iːviːˈnapɔtpal/
dřívější	/dr̝iːvjɛjʃiː/
dříč	/dr̝iːtʃ/
dříč	/dr̝iːt͡ʃ/
dříčův	/dr̝iːt͡ʃuːf/
dští	/tʃcˈiː/
dští	/tʃciː/
dštít	/dʃciːt/
dštít	/tʃciːt/
dštít oheň a síru	/ˈdˤʃciːt ˈʔoɦɛɲ ʔa ˈsiːru/
dštít oheň a síru	/ˈtʃciːt ˈʔoɦɛɲ ʔa ˈsiːru/
dů-	/duː/
důchod	/duːxot/
důchod	/duːxɔt/
důchodce	/duːxottsɛ/
důchodce	/duːxɔt.t͡sɛ/
důchodky	/duːxɔtkɪ/
důchodové	/duːxodovɛː/
důchodové	/duːxɔdɔvɛː/
důchodový	/dˈuːxodˌoviː/
důchodový	/duːxɔdɔviː/
důchodu	/dˈuːxodu/
důchodu	/duːxɔdʊ/
důchody	/duːxodɪ/
důchody	/duːxɔdɪ/
důchoďák	/dˈuːxoɟaːk/
důchoďák	/duːxɔɟaːk/
důkaz	/dˈuːkaz/
důkaz	/ˈduːkaz/
důkazem	/duːkazɛm/
důkazů	/dˈuːkazuː/
důkazů	/duːkazuː/
důkladný	/dˈuːkladniː/
důkladný	/duːkladniː/
důkladně	/duːkladɲɛ/
důl	/dˈuːl/
důl	/duːl/
důle	/duːlɛ/
důle	/ˈduːlɛ/
důležit	/duːlɛʒɪt/
důležit	/ˈduːlɛʒɪt/
důležitost	/duːlɛʒɪtost/
důležitost	/duːlɛʒɪtɔst/
důležitou	/duːlɛʒɪtou/
důležitou	/duːlɛʒɪtɔʊ̯/
důležitá	/duːlɛʒɪtaː/
důležité	/duːlɛʒɪtɛː/
důležité	/ˈduːlɛʒɪtɛː/
důležití	/duːlɛʒɪciː/
důležitý	/duːlɛʒɪtiː/
důlní	/dˈuːlɲiː/
důlní	/duːlɲiː/
dům	/dˈuːm/
dům	/duːm/
důmyslný	/duːmɪslniː/
důmyslný	/duːmɪsl̩niː/
důra	/dˈuːra/
důra	/duːra/
důraz	/ˈduːras/
důrazně	/duːrazɲɛ/
důrazněji	/duːrazɲɛjɪ/
důsažný	/dˈuːsaʒniː/
důsažný	/ˈduːsaʒniː/
důsledek	/duːslɛdɛk/
důsledek	/dʊːslɛdɛk/
důsledku	/duːslɛtku/
důsledku	/duːslɛtkʊ/
důsledky	/duːslɛtkɪ/
důslednému	/duːslɛdnɛːmʊ/
důsledný	/dʊːslɛdniː/
důstojnický	/duːstojɲɪtskiː/
důstojnický	/duːstɔjɲɪt͡skiː/
důstojnost	/duːstɔjnɔst/
důstojníci	/duːstojɲiːtsɪ/
důstojníci	/duːstɔjɲiːt͡sɪ/
důstojník	/dˈuːstojɲiːk/
důstojník	/ˈduːstɔjɲiːk/
důstojníků	/dˈuːstojɲˌiːkuː/
důstojníků	/duːstɔjɲiːkuː/
důstojný	/dˈuːstojniː/
důstojný	/ˈduːstɔjniː/
důstojně	/duːstɔjɲɛ/
důvod	/duːvot/
důvod	/duːvɔt/
důvodech	/duːvodɛx/
důvodech	/duːvɔdɛx/
důvodu	/duːvɔdʊ/
důvody	/duːvodɪ/
důvody	/duːvɔdɪ/
důvodům	/dˈuːvoduːm/
důvodům	/duːvɔduːm/
důvtip	/duːfcɪp/
důvtipný	/ˈduːfcɪpniː/
důvěra	/duːvjɛra/
důvěrné	/vuːvjɛrnɛː/
důvěrník	/duːvjɛrɲiːk/
důvěrník	/ˈdʊːvjɛrɲiːk/
důvěrný	/duːvjɛrniː/
důvěryhodnost	/duːvjɛrɪɦɔdnɔst/
důvěryhodné	/duːvjɛrɪɦɔdnɛː/
důvěryhodný	/duːvjɛrɪɦodniː/
důvěryhodný	/duːvjɛrɪɦɔdniː/
důvěryhodným	/duːvjɛrɪɦodniːm/
důvěryhodným	/duːvjɛrɪɦɔdniːm/
důvěřivců	/duːvjɛr̝ɪvt͡suː/
důvěřivec	/duːvjɛr̝ɪvɛt͡s/
důvěřovat	/duːvjɛr̝ovat/
důvěřovat	/ˈduːvjɛr̝ɔvat/
důvěřovati	/duːvjɛr̝ovacɪ/
důvěřovati	/ˈduːvjɛr̝ɔvacɪ/
důvěřují	/duːvjɛr̝ujiː/
důvěřují	/duːvjɛr̝ʊjiː/
džamil	/dʒamɪl/
džamila	/dʒamɪla/
džamila	/d͡ʒamɪla/
džaur	/d͡ʒaʊ̯r/
džber	/dʒbɛr/
džber	/d͡ʒbɛr/
džbán	/dʒbˈaːn/
džbán	/d͡ʒbaːn/
džegíny	/dʒɛgiːnɪ/
džegíny	/ˈd͡ʒɛgiːnɪ/
dželada	/tʒɛlada/
dželada	/d͡ʒɛlada/
džem	/dʒɛm/
džem	/d͡ʒɛm/
džemu	/dʒɛmu/
džemu	/d͡ʒɛmʊ/
džentlmen	/dʒɛntlmɛn/
džentlmen	/d͡ʒɛntl̩mɛn/
džerba	/dʒɛrba/
džerba	/d͡ʒɛrba/
džez	/dʒɛs/
džez	/d͡ʒɛs/
džibutsko	/dʒɪbutsko/
džibutsko	/dʒɪbʊtskɔ/
džibutský	/dʒɪbutskiː/
džibutský	/ˈd͡ʒɪbʊtskiː/
džibuťan	/dʒɪbʊcan/
džibuťanka	/dʒɪbʊcaŋka/
džihád	/dʒɪɦaːt/
džihád	/d͡ʒɪɦaːt/
džihádista	/dʒɪɦaːdɪsta/
džihádista	/d͡ʒɪɦaːdɪsta/
džin	/dʒɪn/
džin	/d͡ʒɪn/
džob	/dʒop/
džob	/ˈd͡ʒɔp/
džudista	/tʒudɪsta/
džudista	/ˈd͡ʒʊ.dɪsta/
džudo	/dʒˈudo/
džudo	/d͡ʒʊdɔ/
džungle	/dʒunglɛ/
džungle	/ˈd͡ʒʊŋglɛ/
džunglí	/ˈd͡ʒʊŋgliː/
džus	/dʒus/
džus	/d͡ʒʊs/
džusový	/dʒˈusoviː/
džusový	/d͡ʒʊsɔviː/
džusu	/dʒˈusu/
džusu	/d͡ʒʊsʊ/
džuzna	/dʒˈuzna/
džuzna	/ˈdʒʊzna/
džíbútí	/dʒiːbuːtiː/
džínovina	/dʒiːnovɪna/
džínovina	/d͡ʒiːnɔvɪna/
džínsovina	/dʒiːnsovɪna/
džínsovina	/d͡ʒiːnsɔvɪna/
džínsy	/dʒiːnsɪ/
džínsy	/d͡ʒiːnsɪ/
džíny	/dʒiːnɪ/
džíny	/ˈd͡ʒiːnɪ/
e-	/ɛːiː/
e-	/ʔɛː/
e-	/ʔiː/
e-	/ʔɛ/
e-mail	/ʔiːmɛjl/
e-mail	/ˈʔiːmɛjl/
e-shop	/ɛːʃop/
e-shop	/iːʃop/
e-shop	/ɛːʃɔp/
e-shop	/iːʃɔp/
earl	/ɛːrl/
earl	/ɛːrl̩/
early	/ɛːrlɪ/
eben	/ɛbɛn/
ebene	/ɛbɛnɛ/
ebenista	/ɛbɛnɪsta/
ebenovník	/ɛbɛnovɲiːk/
ebenovník	/ɛbɛnɔvɲiːk/
ebenový	/ɛbɛnoviː/
ebenový	/ɛbɛnɔviː/
ebola	/ɛbola/
ebola	/ʔɛbola/
ebola	/ˈɛbɔla/
ebola	/ˈʔɛbɔla/
ebonit	/ɛboɲɪt/
ebonit	/ˈʔɛ.bɔ.ɲɪt/
ebonitový	/ˈʔɛ.bɔ.nɪ.tɔ.viː/
ebro	/ɛbro/
ebro	/ɛbrɔ/
ecb	/ɛːtsɛːbɛː/
ecb	/ˈɛː ˈtsɛː ˈbɛː/
ech	/ɛx/
echeverie mexická	/ɛxɛvɛrɪjɛ mɛksɪt͡skaː/
echinacea	/ɛxɪnaːtsɛa/
echinacea	/ɛxɪnaːt͡sɛ.a/
echo	/ɛxo/
echo	/ɛxɔ/
echo	/ˈɛxɔ/
echokardiografie	/ɛxokardɪjografɪjɛ/
echokardiografie	/ɛxɔkardɪjɔgrafɪjɛ/
echolokace	/ɛxolokatsɛ/
echolokace	/ɛxɔlɔkat͡sɛ/
echový	/ɛxoviː/
echový	/ɛxɔviː/
echt	/ˈʔɛxt/
eco	/ɛko/
eco	/ɛkɔ/
eden	/ɛdɛn/
eder	/ʔɛdɛr/
eder	/ˈʔɛdɛr/
edice	/ɛdɪtsɛ/
edice	/ɛdɪt͡sɛ/
edikula	/ɛdɪkula/
edikula	/ɛdɪkʊla/
edinburgh	/ɛdɪnburk/
edinburgh	/ɛdɪnbʊrk/
edinburghu	/ɛdɪnburku/
edinburghu	/ɛdɪnbʊrkʊ/
edita	/ɛdɪta/
editace obrazu	/ˈɛdɪtat͡sɛˈɔbrazʊ/
editací	/ʔɛdɪtatsiː/
editací	/ˈʔɛdɪtat͡siː/
editor	/ʔɛdɪtor/
editor	/ˈʔɛdɪtɔr/
editorial	/ɛdɪtorɪal/
editorial	/ˈʔɛdɪtɔrɪjal/
editorial	/ˈʔɛdɪtɔrɪjaːl/
editorku	/ʔɛdɪtorku/
editorku	/ˈʔɛdɪtɔrkʊ/
edometr	/ɛdomɛtr/
edometr	/ɛdɔmɛtr/
edoušek	/ʔɛdouʃɛk/
edoušek	/ˈʔɛdoʊ̯ʃɛk/
eduard	/ɛduart/
eduard	/ɛdʊart/
eduardův	/ɛduarduːf/
eduardův	/ɛdʊarduːf/
edukace	/ɛdukatsɛ/
edukace	/ɛdʊkat͡sɛ/
edukativní	/ʔɛdukatɪvɲiː/
edukativní	/ˈʔɛdʊkatɪvɲiː/
edward	/ɛdvart/
edward	/ɛdvort/
edward	/ɛdvɔrt/
edáček	/ʔɛdaːtʃɛk/
edáček	/ˀˈɛdaːt͡ʃɛk/
edém	/ɛdɛːm/
ee	/ɛː/
ee	/ʔɛʔɛ/
ef	/ɛf/
efe	/ˈʔɛfɛ/
efebofil	/ɛfɛbofɪl/
efebofil	/ɛfɛbɔfɪl/
efebofilie	/ɛfɛbofiːlɪjɛ/
efebofilie	/ɛfɛbɔfiːlɪjɛ/
efebofilní	/ɛfɛbofɪlɲiː/
efebofilní	/ɛfɛbɔfɪlɲiː/
efebofilně	/ɛfɛbofɪlɲɛ/
efebofilně	/ɛfɛbɔfɪlɲɛ/
efedrin	/ɛfɛdrɪn/
efekt	/ɛfɛkt/
efektivnost	/ˈʔɛfɛktɪvnɔst/
efektivnost	/ˈʔɛfɛktiːvnɔst/
efektivní	/ɛfɛktɪvɲiː/
efektivní	/ɛfɛktiːvɲiː/
efektivnější	/ɛfɛktɪvɲɛjʃiː/
efektivnější	/ɛfɛktiːvɲɛjʃiː/
efektní	/ɛfɛktɲiː/
efektů	/ɛfɛktuː/
efemérní	/ɛfɛmɛːrɲiː/
eferentní	/ʔɛfɛrɛntɲiː/
eferentní	/ˈʔɛfɛrɛntɲiː/
efka	/ɛfka/
efko	/ɛfko/
efko	/ɛfkɔ/
eféb	/ɛfɛːp/
efébie	/ɛfɛːbɪjɛ/
efébský	/ɛfɛːpskiː/
efébství	/ɛfɛːpstviː/
eg	/ˈʔɛk/
egejské moře	/ɛgɛjskɛː mɔr̝ɛ/
egermaierová	/ˈʔɛːgr̩majɛrɔvaː/
egermaierová	/ˈʔɛːɡɛrmajɛrɔvaː/
egermaierová	/ˈʔɛ.ɡr̩majɛrɔvaː/
egermaierová	/ˈʔɛ.ɡɛr̩majɛrɔvaː/
ego	/ɛgo/
ego	/ˈʔɛgɔ/
egocentrický	/ɛgotsɛntrɪtskiː/
egocentrický	/ɛgɔt͡sɛntr̩ɪt͡skiː/
egoista	/ɛgoɪsta/
egoista	/ɛgɔɪsta/
egoistický	/ɛgoɪstɪtskiː/
egoistický	/ɛgɔɪstɪt͡skiː/
egonův	/ɛgonuːf/
egonův	/ɛgɔnuːf/
egypt	/ɛgɪpt/
egypt	/ˈɛ.gɪpt/
egyptologie	/ɛgɪptologɪjɛ/
egyptologie	/ɛgɪptɔlɔgɪjɛ/
egyptskou	/ɛgɪptskou/
egyptskou	/ɛgɪpt͡skɔʊ̯/
egyptsky	/ɛgɪptskɪ/
egyptsky	/ɛgɪpt͡skɪ/
egyptská	/ɛgɪptskaː/
egyptská	/ɛgɪpt͡skaː/
egyptská arabská republika	/ɛgɪptskaː arapskaː rɛpʊblɪka/
egyptské	/ɛgɪptskɛː/
egyptské	/ɛgɪpt͡skɛː/
egyptský	/ɛgɪptskiː/
egyptský	/ɛgɪpt͡skiː/
egyptština	/ɛgɪptʃcɪna/
egyptština	/ɛgɪpt͡ʃcɪna/
egypťan	/ɛgɪpcan/
egypťanka	/ɛgɪpcanka/
egypťanka	/ɛgɪpcaŋka/
ehzs	/ɛːɦaːzɛtɛs/
ehzs	/ˈɛː ˈɦaː ˈzɛt ˈɛs/
eidam	/ajdam/
einstein	/ajnʃtajn/
einsteinium	/ajnʃtajnɪjum/
einsteinium	/ajnʃtajnɪjʊm/
eintopf	/ˈaɪ̯nˌtɔp͡f/
eis	/ɛɪs/
ejakulace	/ɛjakulatsɛ/
ejakulace	/ˈʔɛ.ja.kʊ.la.t͡sɛ/
ejakulující	/ˈʔɛ.ja.kʊ.lʊ.jiː.t͡siː/
ejakulát	/ɛjakulaːt/
ejakulát	/ˈʔɛ.ja.kʊ.laːt/
ejhle	/ɛjɦlɛ/
ejhle	/ˈʔɛjɦlɛ/
ejpovice	/ɛjpovɪtsɛ/
ejpovice	/ɛjpɔvɪt͡se/
ejpovický	/ɛjpovɪtskiː/
ejpovický	/ɛjpɔvɪt͡skiː/
ejpovičanek	/ʔɛjpovɪtʃanɛk/
ejpovičanek	/ʔɛjpɔvɪt͡ʃanɛk/
ejpovičanka	/ˈʔɛj.pɔvɪt͡ʃaŋka/
ekg	/ɛːkaːgɛː/
ekl	/ɛkl̩/
eklektický	/ɛklɛktɪtskiː/
eklektický	/ˈʔɛ.klɛ.ktɪ.t͡skiː/
ekliptika	/ɛklɪptɪka/
eklogit	/ɛklogɪt/
eklogit	/ɛklɔgɪt/
ekologickou	/ɛkologɪtskou/
ekologickou	/ɛkɔlɔgɪt͡skɔʊ̯/
ekologická daň	/ˈɛkɔlɔgɪt͡skaːˌdaɲ/
ekologická nika	/ɛkɔlɔgɪt͡skaː nɪka/
ekologická valence	/ɛkɔlɔgɪt͡skaː valɛnt͡sɛ/
ekologický	/ɛkologɪtskiː/
ekologický	/ɛkɔlɔgɪt͡skiː/
ekologických	/ɛkɔlɔgɪt͡skiːx/
ekologie	/ɛkologɪjɛ/
ekologie	/ɛkɔlɔgɪjɛ/
ekoložka	/ɛkoloʃka/
ekoložka	/ɛkɔlɔʃka/
ekonom	/ʔɛkonom/
ekonom	/ˈʔɛkɔnɔm/
ekonomce	/ʔɛkɔnɔmt͡sɛ/
ekonomek	/ɛkɔnɔmɛk/
ekonomice	/ɛkonomɪtsɛ/
ekonomice	/ɛkɔnɔmɪt͡sɛ/
ekonomickou	/ɛkonomɪtskou/
ekonomickou	/ɛkɔnɔmɪt͡skɔʊ̯/
ekonomického	/ɛkɔnɔmɪt͡skɛːɦɔ/
ekonomický	/ɛkonomɪtskiː/
ekonomický	/ɛkɔnɔmɪt͡skiː/
ekonomickými	/ɛkonomɪtskiːmɪ/
ekonomickými	/ɛkɔnɔmɪt͡skiːmɪ/
ekonomie	/ɛkonomɪjɛ/
ekonomie	/ɛkɔnɔmɪjɛ/
ekonomik	/ɛkonomɪk/
ekonomik	/ɛkɔnɔmɪk/
ekonomika	/ɛkonomɪka/
ekonomika	/ɛkɔnɔmɪka/
ekonomikami	/ɛkonomɪkamɪ/
ekonomikami	/ɛkɔnɔmɪkamɪ/
ekonomiko	/ɛkonomɪko/
ekonomiko	/ɛkɔnɔmɪkɔ/
ekonomikou	/ɛkonomɪkou/
ekonomikou	/ɛkɔnɔmɪkɔʊ̯/
ekonomiku	/ɛkonomɪku/
ekonomiku	/ɛkɔnɔmɪkʊ/
ekonomiky	/ɛkonomɪkɪ/
ekonomiky	/ɛkɔnɔmɪkɪ/
ekonomikách	/ɛkonomɪkaːx/
ekonomikách	/ɛkɔnɔmɪkaːx/
ekonomikám	/ɛkonomɪkaːm/
ekonomikám	/ɛkɔnɔmɪkaːm/
ekonomka	/ɛkɔnɔmka/
ekonomkami	/ɛkɔnɔmkamɪ/
ekonomko	/ɛkɔnɔmkɔ/
ekonomkou	/ɛkɔnɔmkɔʊ̯/
ekonomku	/ɛkɔnɔmkʊ/
ekonomky	/ɛkɔnɔmkɪ/
ekonomkách	/ɛkɔnɔmkaːx/
ekonomkám	/ɛkɔnɔmkaːm/
ekosystém	/ɛkosɪstɛːm/
ekosystém	/ɛkɔsɪstɛːm/
ektogenní	/ɛktogɛnɲiː/
ektogenní	/ɛktɔgɛnɲiː/
ekumena	/ʔɛkumɛna/
ekumena	/ˈʔɛkʊmɛna/
ekvipotenciální	/ɛkvɪpɔtɛnt͡sɪaːlɲiː/
ekvivalence	/ɛkvɪvalɛnt͡sɛ/
ekvádor	/ɛkvaːdor/
ekvádor	/ˈʔɛkvaːdɔr/
ekvádorec	/ɛkvaːdɔrɛt͡s/
ekvádorka	/ɛkvaːdɔrka/
ekvádorský	/ɛkvaːdorskiː/
ekvádorský	/ɛkvaːdɔrskiː/
ekvádořan	/ɛkvaːdɔr̝an/
ekvádořanka	/ɛkvaːdɔr̝aŋka/
el	/ʔɛl/
el niňo	/ʔɛl nɪɲɔ/
ela	/ɛla/
elaborace	/ɛlaboratsɛ/
elaborace	/ˈʔɛ.la.bɔ.ra.t͡sɛ/
elaborát	/ˈʔɛ.la.bɔ.raːt/
elace	/ɛlatsɛ/
elace	/ɛlat͡sɛ/
elaiothesion	/ʔɛlajjotɦɛsɪon/
elaiothesion	/ʔɛlajotɛsɪon/
elaiothesion	/ˈʔɛlajjɔtɦɛsɪɔn/
elaiothesion	/ˈʔɛlajɔtɛsɪɔn/
elastický	/ɛlastɪtskiː/
elastický	/ɛlastɪt͡skiː/
elativ	/ʔɛlatɪf/
elativ	/ˈʔɛlatɪf/
elbrus	/ɛlbrus/
elbrus	/ɛlbrʊs/
eldorádo	/ɛldoraːdo/
eldorádo	/ˈɛldɔraːdɔ/
ele	/ɛlɛ/
elegický	/ɛlɛgɪtskiː/
elegický	/ˈɛlɛgɪt͡skiː/
elegie	/ɛlɛgɪjɛ/
elektorát	/ɛlɛktoraːt/
elektorát	/ɛlɛktɔraːt/
elektrické	/ɛlɛktrɪt͡skɛː/
elektrický	/ɛlɛktrɪtskiː/
elektrický	/ɛlɛktrɪt͡skiː/
elektrický oblouk	/ɛlɛktrɪt͡skiː ɔblɔʊ̯k/
elektrických	/ɛlɛktrɪt͡skiːx/
elektrifikační	/ˈʔɛlɛktrɪfɪkat͡ʃɲiː/
elektrika	/ɛlɛktrɪka/
elektrikář	/ɛlɛktrɪkaːr̝/
elektrikář	/ɛlɛktrɪkaːr̝̊/
elektroauto	/ɛlɛktroauto/
elektroauto	/ɛlɛktrɔaʊ̯tɔ/
elektroda	/ɛlɛktroda/
elektroda	/ɛlɛktrɔda/
elektrokolo	/ɛlɛktrokolo/
elektrokolo	/ɛlɛktrɔkɔlɔ/
elektrokoloběžky	/ɛlɛktrokolobjɛʃkɪ/
elektrokoloběžky	/ɛlɛktrɔkɔlɔbjɛʃkɪ/
elektromagnetický	/ɛlɛktromagnɛtɪtskiː/
elektromagnetický	/ɛlɛktrɔmagnɛtɪt͡skiː/
elektromobil	/ɛlɛktromobɪl/
elektromobil	/ɛlɛktrɔmɔbɪl/
elektromotor	/ɛlɛktrɔmɔtɔr/
elektroměr	/ɛlɛktromɲɛr/
elektroměr	/ɛlɛktrɔmɲɛr/
elektron	/ɛlɛktron/
elektron	/ɛlɛktrɔn/
elektronické	/ɛlɛktronɪtskɛː/
elektronické	/ɛlɛktrɔnɪt͡skɛː/
elektronickému	/ɛlɛktrɔnɪt͡skɛːmʊ/
elektronický	/ɛlɛktronɪtskiː/
elektronický	/ɛlɛktrɔnɪt͡skiː/
elektronických	/ɛlɛktronɪtskiːx/
elektronických	/ɛlɛktrɔnɪt͡skiːx/
elektronik	/ɛlɛktronɪk/
elektronik	/ɛlɛktrɔnɪk/
elektronika	/ɛlɛktronɪka/
elektronika	/ɛlɛktrɔnɪka/
elektronka	/ɛlɛktronka/
elektronka	/ɛlɛktrɔŋka/
elektrotechnický	/ɛlɛktrotɛxnɪtskiː/
elektrotechnický	/ɛlɛktrɔtɛxn̩ɪt͡skiː/
elektráren	/ɛlɛktraːrɛn/
elektrárna	/ɛlɛktraːrna/
elektrárnami	/ɛlɛktraːrnamɪ/
elektrárno	/ɛlɛktraːrnɔ/
elektrárnou	/ɛlɛktraːrnɔʊ̯/
elektrárnu	/ʔɛlɛktraːrnʊ/
elektrárny	/ɛlɛktraːrn̩ɪ/
elektrárnách	/ɛlɛktraːrnaːx/
elektrárnám	/ɛlɛktraːrnaːm/
elektrárně	/ɛlɛktraːrɲɛ/
elektřina	/ɛlɛktr̝ɪna/
elektřina	/ɛlɛktr̝̊ɪna/
elektřiny	/ɛlɛktr̝̊ɪnɪ/
elementární	/ˈɛlɛmɛntaːrɲiː/
eleonora	/ɛlɛɔnɔra/
eleonořin	/ɛlɛonor̝ɪn/
elf	/ɛlf/
eliin	/ɛlɪjɪn/
eliminovat	/ɛlɪmɪnovat/
eliminovat	/ɛlɪmɪnɔvat/
elin	/ɛlɪn/
elipsa	/ɛlɪpsa/
eliptický	/ɛlɪptɪtskiː/
eliptický	/ɛlɪptɪt͡skiː/
elit	/ɛlɪt/
elita	/ʔɛlɪta/
elita	/ˈʔɛlɪta/
elitní	/ɛlɪtɲiː/
elitě	/ɛlɪcɛ/
eliška	/ɛlɪʃka/
eliščin	/ɛlɪʃt͡ʃɪn/
elko	/ɛlko/
elko	/ɛlkɔ/
elokventní	/ˈʔɛlɔkvɛntɲiː/
eloxace	/ɛloksatsɛ/
eloxace	/ɛlɔksat͡sɛ/
elpéčko	/ɛlpɛːtʃko/
elpéčko	/ɛlpɛːt͡ʃkɔ/
elpíčko	/ɛlpiːtʃko/
elpíčko	/ɛlpiːt͡ʃkɔ/
eluvium	/ɛlʊvɪjʊ̯m/
elév	/ɛlɛːf/
elí	/ɛliː/
elúl	/ɛluːl/
elča	/ˈʔɛl.t͡ʃa/
em	/ɛm/
em-	/ɛm/
ema	/ɛma/
email	/ɛmajl/
emailový	/ɛmaɪloviː/
emailový	/ɛmaɪlɔviː/
emanuel	/ɛmanuɛl/
emanuel	/ɛmanʊɛl/
emanuelův	/ɛmanuɛluːf/
emanuelův	/ɛmanʊɛluːf/
emblematický	/ɛmblɛmatɪtskiː/
emblematický	/ɛmblɛmatɪt͡skiː/
embolie	/ʔɛmbolɪjɛ/
embolie	/ˈˀɛmbɔlɪjɛ/
embolus	/ɛmbolus/
embolus	/ɛmbɔlʊs/
embryonální	/ɛmbrɪjonaːlɲiː/
embryonální	/ɛmbrɪjɔnaːlɲiː/
embéčko	/ɛmbɛːtʃko/
embéčko	/ɛmbɛːt͡ʃkɔ/
ementál	/ɛmɛntaːl/
ementál	/ˈɛmɛntaːl/
emeritní	/ɛmɛrɪtɲiː/
emerzní	/ɛmɛrzɲiː/
emerzní	/ˈɛmɛrzɲiː/
emigrace	/ɛmɪgratsɛ/
emigrace	/ˈɛmɪɡrat͡sɛ/
emigrantský	/ɛmɪgrantskiː/
emil	/ɛmɪl/
emilův	/ɛmɪluːf/
eminem	/ɛmɪnɛm/
eminentní	/ɛmɪnɛntɲiː/
emisar	/ɛmɪsar/
emisař	/ɛmɪsar̝/
